         Name of Element.        Ideal Pressure.       V.D Waals Pres.         %Error.
                  HE                 8.21                  8.38                 -1.97
                  HE                10.26                 10.48                 -2.05
                  HE                12.32                 12.58                 -2.11
                  HE                14.37                 14.68                 -2.14
                  HE                16.42                 16.78                 -2.17
                  HE                18.47                 18.89                 -2.19
                  HE                20.53                 20.99                 -2.21
                  HE                22.58                 23.09                 -2.23
                  HE                24.63                 25.19                 -2.24
                  HE                26.68                 27.30                 -2.25
                  HE                28.74                 29.40                 -2.26
                  HE                30.79                 31.50                 -2.26
                  HE                32.84                 33.60                 -2.27
                  HE                34.89                 35.71                 -2.28
                  HE                36.95                 37.81                 -2.28
                  HE                39.00                 39.91                 -2.29
                  HE                41.05                 42.01                 -2.29

         Name of Element.         Ideal Pressure.        V.D  Waals Pres.       %Error.

                  H2                 8.21                  8.19                  0.24
                  H2                10.26                 10.30                 -0.35
                  H2                12.32                 12.41                 -0.75
                  H2                14.37                 14.52                 -1.02
                  H2                16.42                 16.62                 -1.23
                  H2                18.47                 18.73                 -1.39
                  H2                20.53                 20.84                 -1.52
                  H2                22.58                 22.95                 -1.63
                  H2                24.63                 25.06                 -1.71
                  H2                26.68                 27.17                 -1.79
                  H2                28.74                 29.28                 -1.85
                  H2                30.79                 31.38                 -1.90
                  H2                32.84                 33.49                 -1.95
                  H2                34.89                 35.60                 -1.99
                  H2                36.95                 37.71                 -2.03
                  H2                39.00                 39.82                 -2.06
                  H2                41.05                 41.93                 -2.09

         Name of Element.         Ideal Pressure.        V.D  Waals Pres.       %Error.

                  O2                 8.21                  7.12                 15.31
                  O2                10.26                  9.24                 11.07
                  O2                12.32                 11.36                  8.41
                  O2                14.37                 13.48                  6.59
                  O2                16.42                 15.60                  5.26
                  O2                18.47                 17.72                  4.25
                  O2                20.53                 19.84                  3.46
                  O2                22.58                 21.96                  2.82
                  O2                24.63                 24.08                  2.29
                  O2                26.68                 26.20                  1.85
                  O2                28.74                 28.32                  1.47
                  O2                30.79                 30.44                  1.15
                  O2                32.84                 32.56                  0.86
                  O2                34.89                 34.68                  0.62
                  O2                36.95                 36.80                  0.40
                  O2                39.00                 38.92                  0.20
                  O2                41.05                 41.04                  0.03

         Name of Element.         Ideal Pressure.        V.D  Waals Pres.       %Error.

                 CO2                 8.21                  4.99                 64.65
                 CO2                10.26                  7.13                 43.93
                 CO2                12.32                  9.27                 32.79
                 CO2                14.37                 11.42                 25.83
                 CO2                16.42                 13.56                 21.07
                 CO2                18.47                 15.71                 17.61
                 CO2                20.53                 17.85                 14.98
                 CO2                22.58                 19.99                 12.92
                 CO2                24.63                 22.14                 11.25
                 CO2                26.68                 24.28                  9.88
                 CO2                28.74                 26.43                  8.73
                 CO2                30.79                 28.57                  7.76
                 CO2                32.84                 30.71                  6.92
                 CO2                34.89                 32.86                  6.19
                 CO2                36.95                 35.00                  5.55
                 CO2                39.00                 37.15                  4.98
                 CO2                41.05                 39.29                  4.48

         Name of Element.         Ideal Pressure.        V.D  Waals Pres.       %Error.

                 H2O                 8.21                  3.01                172.91
                 H2O                10.26                  5.13                100.23
                 H2O                12.32                  7.24                 70.04
                 H2O                14.37                  9.36                 53.51
                 H2O                16.42                 11.48                 43.07
                 H2O                18.47                 13.59                 35.89
                 H2O                20.53                 15.71                 30.64
                 H2O                22.58                 17.83                 26.64
                 H2O                24.63                 19.94                 23.49
                 H2O                26.68                 22.06                 20.94
                 H2O                28.74                 24.18                 18.84
                 H2O                30.79                 26.30                 17.08
                 H2O                32.84                 28.41                 15.58
                 H2O                34.89                 30.53                 14.29
                 H2O                36.95                 32.65                 13.16
                 H2O                39.00                 34.76                 12.18
                 H2O                41.05                 36.88                 11.30

         Name of Element.         Ideal Pressure.        V.D  Waals Pres.       %Error.

End of the Table.
